,sercdoa_OA_ser,INVN_F,UBFC_Fshelfmark,PVCS_OAcountry,PVCC_OAtown,LDCN_OArep,PRVC_OAprev_town,AUFI_Fatelier_address,AUFN_Faut,SGLT_Ftitle,SGTT_OAtitle,AUTN_OAaut,OGTT_OAtype,AUTB_Fsubj_main,OGTDOA_OAsubj_sub,ROFI_Fneg,BIBA_OAbib,OSS_Fnotes,OSS_OAnotes,FTAN_filename,NCTN_F_entry,NRSCHEDA_OA_entry,DTZG_OAcentury,LRD_Fshotdates,DTSI_Fprintdates,DTSF_Fprintdates,AUFA_Faut_dates,Note,status
301,178475,sup 348,PA_Emilia Romagna 130,Italia,Ravenna,,,,Anonimo,Ravenna. Campanile of S. Giovanni Battista,Chiesa di San Giovanni Battista,Maestranze sec. XI/ XII,architettura,Arte medievale,chiesa,,,"Fotografia incollata su cartoncino; supporto secondario mm 380x315.
",,\FONDO_SUPINO\Italia\Emilia Romagna\sup 348.jpg,800348,102320,"sec. XI/ XII,sec. XVII",1855-1899,1855,1899,,,missing
302,178478,sup 349,PA_Emilia Romagna 131,Italia,Ravenna,,,,Anonimo,Ravenna. S. Giovanni Evangelista - Campanile about 1200.,Campanile di San Giovanni Evangelista,Maestranze sec. X,architettura,Arte altomedievale,campanile,,,"Fotografia incollata su cartoncino; supporto secondario mm 380x316.
",,\FONDO_SUPINO\Italia\Emilia Romagna\sup 349.jpg,800349,102321,sec. X,1855-1899,1855,1899,,,missing
303,178480,sup 350,PA_Emilia Romagna 132,Italia,Ravenna,,,,Anonimo,La torre del Comune at Ravenna,Torre comunale,Maestranze sec. XI,architettura,Arte medievale,torre,,,"Fotografia incollata su cartoncino; supporto secondario mm 380x316.
",,\FONDO_SUPINO\Italia\Emilia Romagna\sup 350.jpg,800350,102322,sec. XI,1855-1899,1855,1899,,,missing
304,178491,sup 351,PA_Emilia Romagna 133,Italia,Rimini,Tempio Malatestiano,,Alinari,"Alinari, Fratelli",Rimini - Tempio Malatestiano oggi Cattedrale. Lapide sepolcrale del cardinale Lodovico Bonetto d'Agrigento (XV. secolo).,Lastra tombale del cardinale Ludovico Bonito,Anonimo riminese sec. XV,scultura,"Scuola italiana, scuola romagnola, scuola riminese",lastra tombale,965,,"Fotografia incollata su cartoncino; supporto secondario mm 380x316.
Nel catalogo Alinari ""Terza Appendice"" del 1887 la foto compare citata con un altro numero di inventario: 15111. Il numero che compare sulla foto è presumibilmente precedente.","Foto sup 351, verso: nota anonima sul verso del supporto secondario: ""Rimini. Tempio Malatestiano. / Sepulchral slab of Cardinal Ludovico Bonetti; a Sicilian / from Grigenti; bishop of Amalfi, Taranto and other dioceses. / He was sent as ambassador to king Ladislas by Innocent VII / and created Cardinal by Gregory XII in 1408. / He died at Rimini en route to the Council of Constance / in sept. 1413 and was buried in the middle of the church of St. Francis. / When Malatesta converted the church into a temple some / 40 years later the tomb slab of the Cardinal was removed / and placed against the interior wall of the entrance where it / now stands. The inscription reads this..."".",\FONDO_SUPINO\Italia\Emilia Romagna\sup 351.jpg,800351,102323,sec. XV,1881-1887,1881,1887,1854-2019,"Rimini. Tempio Malatestiano. / Sepulchral slab of Cardinal Ludovico Bonetti; a Sicilian / from Grigenti; bishop of Amalfi, Taranto and other dioceses. / He was sent as ambassador to king Ladislas by Innocent VII / and created Cardinal by Gregory XII in 1408. / He died at Rimini en route to the Council of Constance / in sept. 1413 and was buried in the middle of the church of St. Francis. / When Malatesta converted the church into a temple some / 40 years later the tomb slab of the Cardinal was removed / and placed against the interior wall of the entrance where it / now stands. The inscription reads this..."".",incomplete
305,178494,sup 1243,PA_Napoli 088,Italia,Napoli,Collezione privata,,Ed. Alinari,"Alinari, Fratelli",Napoli - Villa Perretti - Casa Mollo (Portici). Prof. Domenico Morelli - La figlia di Jairo -,La figlia di Jairo,Morelli Domenico,dipinto,Scuola italiana,dipinto,21632,NR,"Fotografia incollata su cartoncino; supporto secondario mm 313x381.
",,\FONDO_SUPINO\Italia\Napoli\sup 1243.jpg,801243,104083,sec. XIX,1855-1913,1900,1920,1854-2019,,missing
306,178496,sup 1238,PA_Napoli 083,Italia,,Collezione privata,Napoli,Ed. Alinari,"Alinari, Fratelli",Napoli - Casa Stevans. Prof. Domenico Morelli - Improvvisatore arabo -,Improvvisatore arabo,Morelli Domenico,dipinto,Scuola italiana,dipinto,21643,NR,"Fotografia incollata su cartoncino; supporto secondario mm 381x313.
",,\FONDO_SUPINO\Italia\Napoli\sup 1238.jpg,801238,104079,sec. XIX,1855-1913,1900,1920,1854-2019,,missing
307,178497,sup 1239,PA_Napoli 084,,,Ubicazione sconosciuta,Berlino,Ed. Alinari,"Alinari, Fratelli",Napoli - Villa Perretti - Casa Mollo. (Portici) Prof. Domenico Morelli - Il Cristo deriso -,,Morelli Domenico,dipinto,Scuola italiana,dipinto,21633,NR,"Fotografia incollata su cartoncino; supporto secondario mm 313x381.
",,\FONDO_SUPINO\Italia\Napoli\sup 1239.jpg,801239,104080,sec. XIX,1855-1913,1900,1920,1854-2019,,missing
308,178499,sup 1240,PA_Napoli 085,Italia,,Collezione Vetri-Morelli,,Ed. Alinari,"Alinari, Fratelli",Napoli - Casa del Prof. Vetri. Prof. Domenico Morelli - Cristo morente -,,Morelli Domenico,dipinto,Scuola italiana,dipinto,21608,NR,"Fotografia incollata su cartoncino; supporto secondario mm 381x313.
",,\FONDO_SUPINO\Italia\Napoli\sup 1240.jpg,801240,104081,sec. XIX,1855-1913,1900,1920,1854-2019,,missing
309,178501,sup 1240,PA_Napoli 087,Italia,Napoli,Museo e Gallerie Nazionali di Capodimonte,,Ed. Alinari,"Alinari, Fratelli",Napoli - Palazzo Reale di Capodimonte. Prof. Domenico Morelli - Gli iconoclasti -,Gli iconoclasti,Morelli Domenico,dipinto,Scuola italiana,dipinto,21650,NR,"Fotografia incollata su cartoncino; supporto secondario mm 381x313.
",,\FONDO_SUPINO\Italia\Napoli\sup 1242.jpg,801242,104082,sec. XIX,1855-1913,1900,1920,1854-2019,,missing
310,178507,sup 370,PA_Emilia Romagna 134,Italia,Rimini,Tempio Malatestiano,,,Anonimo,Rimini. Tempio Malatestiano. S. Sigismondo re di Borgogna,,Agostino di Duccio,scultura,"Scuola italiana, scuola toscana, scuola fiorentina",statua,,,"Fotografia incollata su cartoncino; supporto secondario mm 380x316.
","Foto sup 370, verso: nota anonima sul verso del supporto secondario: ""Rimini. / Tempio Malatestiano. / S. Sigismondo re di Borgogna seated on two elephants with his hand on a globe. / Probably by Bernardo Ciuffagni, a scholar of Donatello"".",\FONDO_SUPINO\Italia\Emilia Romagna\sup 370.jpg,800370,102324,sec. XV,1855-1899,1855,1899,,"Rimini. / Tempio Malatestiano. / S. Sigismondo re di Borgogna seated on two elephants with his hand on a globe. / Probably by Bernardo Ciuffagni, a scholar of Donatello"".",complete
311,178510,sup 371,PA_Emilia Romagna 135,Italia,Parma,Battistero,,,Anonimo,"Parma, Door of Battisterio. Anno 1196",Lunetta della Vergine,Antelami Benedetto,scultura,"Scuola italiana, scuola lombarda",lunetta,,NR,"Fotografia incollata su cartoncino; supporto secondario mm 380x316.
",,\FONDO_SUPINO\Italia\Emilia Romagna\sup 371.jpg,800371,75772,sec. XII/ XIII,1855-1899,1855,1899,,,missing
312,178514,sup 373,PA_Emilia Romagna 136,Italia,Faenza,Cattedrale,,,Anonimo,,Arca di San Savino,Benedetto di Leonardo d'Antonio,scultura,"Scuola italiana, scuola toscana, scuola fiorentina",arca sepolcrale,,,"Fotografia incollata su cartoncino; supporto secondario mm 380x316.
","Foto sup 373, verso: nota anonima sul verso del supporto secondario: ""Faenza. / Duomo. / Relief of monumental altar of San Savino by Benedetto / da Maiano, about 1472. He is represented as praying / when ordered by the angel to go to Assisi"".",\FONDO_SUPINO\Italia\Emilia Romagna\sup 373.jpg,800373,102325,sec. XV,1855-1899,1855,1899,,"Faenza. / Duomo. / Relief of monumental altar of San Savino by Benedetto / da Maiano, about 1472. He is represented as praying / when ordered by the angel to go to Assisi"".",complete
313,178517,sup 374,PA_Emilia Romagna 137,Italia,Faenza,Cattedrale,,,Anonimo,,Arca di San Savino,Benedetto di Leonardo d'Antonio,scultura,"Scuola italiana, scuola toscana, scuola fiorentina",arca sepolcrale,,,"Fotografia incollata su cartoncino; supporto secondario mm 380x316.
","Foto sup 373, verso: nota anonima sul verso del supporto secondario: ""Faenza. / Duomo. / Relief of monumental altar of San Savino by Benedetto / da Maiano, about 1472. He is represented as praying / when ordered by the angel to go to Assisi"".",\FONDO_SUPINO\Italia\Emilia Romagna\sup 374.jpg,800374,102325,sec. XV,1855-1899,1855,1899,,,missing
314,178518,sup 1331,PA_Napoli 086,Italia,Napoli,Chiesa di S. Giacomo degli Spagnoli,,,Anonimo,,Sepolcro del viceré Pedro de Toledo e di sua moglie María Osorio Pimentel,Marigliano Giovanni,scultura,"Scuola italiana, scuola campana, scuola napoletana",monumento funebre,,,Fotografia incollata su cartoncino; supporto secondario mm 310x381.,"Foto sup 1211, verso del supporto secondario: nota anonima manoscritta: ""The great Viceroy Pietro di Toledo, who died poisoned by his son in law Cosimo in 1553, erected this monument in his life time. The Nolano who executed it must have been very old, as he was born in 1475. By the inscription the tomb was dedicated by the Viceroy Garsin, Pietros son in 1570. Pietro has also a simple monument in the Duomo of Florence"".
&#10;
&#10;Foto sup 1331, verso del supporto secondario: nota anonima manoscritta: ""Padua. Mr. Perkins says that this is an overcrowded, ill composed picture"".",\FONDO_SUPINO\Italia\Napoli\sup 1331.jpg,801331,104063,sec. XVI,1855-1899,1855,1899,,"Padua. Mr. Perkins says that this is an overcrowded, ill composed picture"".",complete
315,178519,sup 377,PA_Emilia Romagna 138,Italia,Cesena,Cattedrale di S. Giovanni Battista,,Alinari,"Alinari, Fratelli",Cesena - Cattedrale. Altare del Corpus Domini (attribuito a Donatello),Altare del Corpus Domini,Bregno Giovanni Battista,scultura,"Scuola italiana, scuola lombarda/ scuola veneta",altare,1075,NR,"Fotografia incollata su cartoncino; supporto secondario mm 381x317.
Nel catalogo Alinari ""Terza Appendice"" del 1887 la foto compare citata con un altro numero di inventario: 14079. Il numero che compare sulla foto è presumibilmente precedente.",,\FONDO_SUPINO\Italia\Emilia Romagna\sup 377.jpg,800377,88068,sec. XV/ XVI,1881-1887,1881,1887,1854-2019,,missing
316,178520,sup 1231,PA_Napoli 089,Italia,Napoli,Basilica di S. Chiara,,Ed. Alinari,"Alinari, Fratelli",Napoli. Chiesa di S. Chiara.,Monumento funebre di Roberto d'Angiò,Bertini Pacio,scultura,"Scuola italiana, scuola toscana, scuola fiorentina",monumento funebre,11588,NR,"Sul verso: nota anonima manoscritta a matita: ""Monumento a Roberto, il Savio/ Masuccio il giovine""; nota anonima manoscritta a matita rossa: ""1076"" e timbro a inchiostro ""NF"".

","Foto sup 1231, verso: nota anonima manoscritta: ""Monument of King Robert the wise erected by his granddaughter and successor Queen Giovanna. Baccio and Giovanni, fiorentini the artists. He died in 1343. He is represented four times: 1. Standing with his wives and children. 2.Lying on his deathbed, clad as a Franciscan. 3.Seated on his throne. 4. Kneeling and presented to the [...] See Perkins ...""",\FONDO_SUPINO\Italia\Napoli\sup 1244.jpg,801244,77035,sec. XIV,1855-1907,1890,1917,1854-2019,"Monument of King Robert the wise erected by his granddaughter and successor Queen Giovanna. Baccio and Giovanni, fiorentini the artists. He died in 1343. He is represented four times: 1. Standing with his wives and children. 2.Lying on his deathbed, clad as a Franciscan. 3.Seated on his throne. 4. Kneeling and presented to the [...] See Perkins ...""",incomplete
317,178524,sup 378,PA_Emilia Romagna 139,Italia,Cesena,Cattedrale di S. Giovanni Battista,,Alinari,"Alinari, Fratelli",Cesena - Cattedrale. Dossale d'altare con i santi Lorenzo Cristoforo ed Eustachio. (Donatello.),,Bregno Lorenzo,scultura,"Scuola italiana, scuola lombarda/ scuola veneta",trittico,1076,NR,"Fotografia incollata su cartoncino; supporto secondario mm 318x380.
Nel catalogo Alinari ""Terza Appendice"" del 1887 la foto compare citata con un altro numero di inventario: 14080. Il numero che compare sulla foto è presumibilmente precedente.",,\FONDO_SUPINO\Italia\Emilia Romagna\sup 378.jpg,800378,102327,sec. XVI,1881-1887,1881,1887,1854-2019,,missing
318,178525,sup 1245,PA_Napoli 090,Italia,Napoli,Chiesa di S. Domenico Maggiore,,Ed. Alinari,"Alinari, Fratelli",Napoli. Chiesa di S. Domenico Maggiore. Tomba di Mariano d'Alagni (Agnello del Fiore),Monumento funebre di Mariano d'Alagno e di Caterina Orsini,Malvito Tommaso,scultura,"Scuola italiana, scuola lombarda",monumento funebre,11600,NR,"Sul verso: nota anonima manoscritta a matita: ""Ch.a di S. Domenico Maggiore""; nota anonima manoscritta a matita rossa: ""278"" e timbro a inchiostro ""NF"".
","Foto sup 1195 verso, : nota anonima manoscritta: ""Tomb of Mariano d'Alagni Count of Bucchianino and of Caterina Orsini, his wife; they died in 1477. If by Agnello Agnelli del Fiore, the monument must have been put up some years later, as he was born in 1465"".",\FONDO_SUPINO\Italia\Napoli\sup 1245.jpg,801245,79449,sec. XVI,1855-1907,1880,1899,1854-2019,,missing
319,178529,sup 1246,PA_Napoli 091,Italia,Napoli,Basilica di S. Chiara,,Ed. Alinari,"Alinari, Fratelli",Napoli. Chiesa di S. Chiara. Monumento a Roberto il Savio. (Masuccio il Giovine),Monumento funebre di Roberto d'Angiò,Bertini Pacio,scultura,"Scuola italiana, scuola toscana, scuola fiorentina",monumento funebre,11588,NR,"Sul verso: nota anonima manoscritta a matita: ""Giovanni e Pacio di Firenze""; nota anonima manoscritta a matita rossa: ""248""; nota anonima manoscritta a matita blu: ""XL""e timbro a inchiostro ""Studio Zincografico. E. Migliori & R. Zucconi. Telefono 26-49. Via Faentina 86, 86. Firenze"".

","Foto sup 1231, verso: nota anonima manoscritta: ""Monument of King Robert the wise erected by his granddaughter and successor Queen Giovanna. Baccio and Giovanni, fiorentini the artists. He died in 1343. He is represented four times: 1. Standing with his wives and children. 2.Lying on his deathbed, clad as a Franciscan. 3.Seated on his throne. 4. Kneeling and presented to the [...] See Perkins ...""",\FONDO_SUPINO\Italia\Napoli\sup 1246.jpg,801246,77035,sec. XIV,1855-1907,1890,1917,1854-2019,,missing
320,178530,sup 1247,PA_Napoli 092,Italia,Napoli,Chiesa di Monteoliveto//Chiesa di S. Anna dei Lombardi,,,Anonimo,,,Rossellino Antonio,scultura,"Scuola italiana, scuola toscana, scuola fiorentina",altare,,,"Fotografia incollata su cartoncino; supporto secondario mm 309x382.

","Foto INVN 144791, 144792, verso: note autografe di F. Zeri a matita in basso a destra: ""Antonio Rossellino / (statue di Matteo del Pollaiuolo).
&#10;
&#10;Foto sup 1247, verso del supporto secondario: nota anonima manoscritta: ""Detail of A. Rosselinos basrelief"".
&#10;
&#10;Foto sup 1270, verso del supporto secondario: nota anonima manoscritta: ""Piccolomini Chapel in Montoliveto, Naples. Basrelief of the Nativity by Antonio Rossellino or perhaps by his master Donatello. It is said to have been executed in 1470. A. Rossellino died in 1478 and Donatello in 1466, aged 83, so that the latter could not well have had a hand in it, tho' there be parts that are uncommonly like his style"".",\FONDO_SUPINO\Italia\Napoli\sup 1247.jpg,801247,73300,sec. XV,1855-1899,1855,1899,,"Detail of A. Rosselinos basrelief"".
",complete
321,178531,sup 1248,PA_Napoli 093,Italia,Napoli,Museo Archeologico Nazionale,,Ed. Alinari,"Alinari, Fratelli",Napoli - Museo Nazionale. Galleria dei capolavori,Venere Callipige,Anonimo sec. I/ II,scultura,Arte romana,statua,2209,NR,"Sul verso: nota anonima manoscritta a matita: ""69""; nota anonima manoscritta a matita rossa: ""4997"" e timbro a inchiostro ""NF"".

",La foto documenta l'allestimento ottocentesco del museo.,\FONDO_SUPINO\Italia\Napoli\sup 1248.jpg,801248,104084,sec. I/ II,1855-1873,1870,1917,1854-2019,,missing
322,178532,sup 1249,PA_Napoli 094,Italia,Napoli,Castel Nuovo,,Ed. Alinari,"Alinari, Fratelli",Napoli - Castel Nuovo - Arco D'Aragona. Alfonso d'Aragona. dettaglio del gran bassorilievo. (XVI secolo.),Arco trionfale di Alfonso d'Aragona,Laurana Francesco,architettura/ scultura,Scuola dalmata/ scuola italiana,arco trionfale,19140,,"Fotografia incollata su cartoncino; supporto secondario mm 338x249. Sul recto del supporto secondario, timbro a inchiostro: ""Donazione Supino"". 

","Foto sup 1266, verso del supporto secondario: nota anonima manoscritta: ""8 [?] (2)"".",\FONDO_SUPINO\Italia\Napoli\sup 1249.jpg,801249,75508,sec. XV,1855-1907,1900,1920,1854-2019,,missing
323,178533,sup 1294,PA_Napoli 095,Italia,Napoli,Basilica di S. Restituta,,Ed. Alinari,"Alinari, Fratelli",Napoli. Chiesa di S. Restituta. Bassorilievo con storie di Giacobbe (VIII secolo),,Anonimo campano sec. XIII,scultura,"Scuola italiana, scuola campana",rilievo,11598,NR,"Fotografia incollata su cartoncino; supporto secondario mm 309x381. 
",,\FONDO_SUPINO\Italia\Napoli\sup 1250.jpg,801250,77109,sec. XIII,1855-1886,1880,1899,1854-2019,,missing
324,178534,sup 1251,PA_Napoli 096,Italia,Napoli,Basilica di S. Restituta,,Ed. Alinari,"Alinari, Fratelli",Napoli - Chiesa di S. Restituta. Bassorilievo con storie di S. Gennaro e S. Giorgio. (VIII secolo.),,Anonimo campano sec. XIII,scultura,"Scuola italiana, scuola campana",rilievo,11597,NR,"Fotografia incollata su cartoncino; supporto secondario mm 260x341. Sul recto del supporto secondario, timbro a inchiostro: ""Donazione Supino"" e nota anonima manoscritta a matita: ""Sec. XII?"".

",,\FONDO_SUPINO\Italia\Napoli\sup 1251.jpg,801251,77110,sec. XIII,1855-1907,1900,1920,1854-2019,,missing
325,178536,sup 1252,PA_Napoli 097,Italia,Napoli,Basilica di S. Chiara,,Ed. Alinari,"Alinari, Fratelli",Napoli - Chiesa di S. Chiara. Tomba di Carlo del Balzo (XIV secolo),Sepolcro di Isabella del Balzo,Anonimo fiorentino sec. XIV,scultura,"Scuola italiana, scuola toscana, scuola fiorentina",monumento funebre,11915,,"Fotografia inserita su supporto secondario in cartoncino con angoli; supporto secondario mm 341x255. Sul recto del supporto secondario, timbro a inchiostro: ""Donazione Supino"". 

","Foto sup 1196, verso: nota anonima manoscritta: ""1375. Observe the little dogs and the peculiar head dressed"".",\FONDO_SUPINO\Italia\Napoli\sup 1252.jpg,801252,104056,sec. XIV,1855-1907,1900,1920,1854-2019,,missing
326,178539,sup 1253,PA_Napoli 098,Italia,Napoli,Basilica di S. Chiara,,Ed. Alinari,"Alinari, Fratelli",Napoli - Chiesa di S. Chiara. Monumento a Maria di Calabria. (Masuccio il Giovine),Monumento funebre di Maria di Durazzo,Anonimo napoletano sec. XIV,scultura,"Scuola italiana, scuola campana, scuola napoletana",monumento funebre,11587,,"Fotografia inserita su cartoncino con angoli; supporto secondario mm 341x255. Sul recto del supporto secondario, timbro a inchiostro: ""Donazione Supino"". 

","Foto sup 1217, verso: nota anonima manoscritta: ""Santa Chiara. Naples. Tomb of Maria duchess of Durazzo, Queen Giovannas sister. She died in 1366. She lies crowned and in an empiress robes. The inscription, in Gothic letters, says: ""Maria de Francia imperatrix Costantinopolitana ac ducissa Duraciis"". This monument is in a better style than that of her father, Duke Charles of Calabria"".",\FONDO_SUPINO\Italia\Napoli\sup 1253.jpg,801253,80103,sec. XIV,1855-1907,1900,1920,1854-2019,,missing
327,178540,sup 1254,PA_Napoli 099,Italia,Napoli,Basilica di S. Chiara,,Ed. Alinari,"Alinari, Fratelli",Napoli - Chiesa di S. Chiara. Monumento a Roberto il Savio. (Masuccio il Giovine),Monumento funebre di Roberto d'Angiò,Bertini Pacio,scultura,"Scuola italiana, scuola toscana, scuola fiorentina",monumento funebre,11588,NR,"Fotografia inserita su cartoncino con angoli; supporto secondario mm 340x250. Sul recto del supporto secondario, timbro a inchiostro: ""Donazione Supino"". 

","Foto sup 1231, verso: nota anonima manoscritta: ""Monument of King Robert the wise erected by his granddaughter and successor Queen Giovanna. Baccio and Giovanni, fiorentini the artists. He died in 1343. He is represented four times: 1. Standing with his wives and children. 2.Lying on his deathbed, clad as a Franciscan. 3.Seated on his throne. 4. Kneeling and presented to the [...] See Perkins ...""",\FONDO_SUPINO\Italia\Napoli\sup 1254.jpg,801254,77035,sec. XIV,1855-1907,1900,1920,1854-2019,,missing
328,178542,sup 1255,PA_Napoli 100,Italia,Napoli,Museo Archeologico Nazionale,,Sommer - Napoli,"Sommer, Giorgio",Napoli Museo. Apollo,,Anonimo sec. I a.C.,scultura,Arte romana,statua,7528,NR,"Fotografia incollata su cartoncino; supporto secondario mm 382x313.

","Foto sup 1255, verso del supporto secondario: nota anonima manoscritta: ""A bronze of an etruscan style, but probably of Roman times. Found in Pompeii - in the temple of Apollo in 1817. Very much put together for he and the Artemis found with him were recovered in pieces. See Friedrichs Wolters N.° 1529"".",\FONDO_SUPINO\Italia\Napoli\sup 1255.jpg,801255,104085,sec. I a.C.,1855-1899,1855,1899,,"A bronze of an etruscan style, but probably of Roman times. Found in Pompeii - in the temple of Apollo in 1817. Very much put together for he and the Artemis found with him were recovered in pieces. See Friedrichs Wolters N.° 1529"".",complete
329,178543,sup 1256,PA_Napoli 101,Italia,Napoli,Museo Archeologico Nazionale,,Ed. Alinari,"Alinari, Fratelli",Napoli - Museo Nazionale. Oreste consulta l'oracolo di Apollo (Ercolano),,Anonimo sec. I a.C.,scultura,Arte greco-romana,rilievo,19067,NR,"Fotografia incollata su cartoncino; supporto secondario mm 381x313.
La foto compare nel Catalogo Alinari Campania o Napoletano 1907.

",,\FONDO_SUPINO\Italia\Napoli\sup 1256.jpg,801256,104086,sec. I a.C.,1855-1899,1855,1899,1854-2019,,missing
330,178544,sup 1257,PA_Napoli 102,Italia,Napoli,Museo Archeologico Nazionale,,Ed. Alinari,"Alinari, Fratelli",Napoli - Museo Nazionale. Un sacrifizio. (Farnese),,Anonimo sec. I a.C./ I,scultura,Arte greco-romana,rilievo,19082,,"Fotografia incollata su cartoncino; supporto secondario mm 313x381.
La foto compare nel Catalogo Alinari Campania o Napoletano 1907.

",,\FONDO_SUPINO\Italia\Napoli\sup 1257.jpg,801257,104087,sec. I a.C./ I,1855-1899,1855,1899,1854-2019,,missing
331,178545,sup 1258,PA_Napoli 103,Italia,Napoli,Museo Archeologico Nazionale,,,Anonimo,Napoli - Museo Nazionale. Un sacrifizio. (Farnese),,Anonimo sec. II/ III,scultura,Arte greco-romana,sarcofago,,,"Fotografia incollata su cartoncino; supporto secondario mm 380x317.


","Foto sup 1258, verso del supporto secondario: nota anonima manoscritta: ""Museo borbonico at Naples. Fine sarcophagus with triumphal procession of Bacchus and his crew. Above it are some fine reliefs: venus persuading Helen to clope with Paris; Diana; Herculesand Omphale; Perseus and Andromeda; a scene in one of Terences plays; Apollo toyng with the Graces; and two Bacchanalian subjeets"".
&#10;
&#10;La foto documenta l'allestimento ottocentesco del museo.",\FONDO_SUPINO\Italia\Napoli\sup 1258.jpg,801258,104088,sec. II/ III,1855-1899,1855,1899,,"Museo borbonico at Naples. Fine sarcophagus with triumphal procession of Bacchus and his crew. Above it are some fine reliefs: venus persuading Helen to clope with Paris; Diana; Herculesand Omphale; Perseus and Andromeda; a scene in one of Terences plays; Apollo toyng with the Graces; and two Bacchanalian subjeets"".
",complete
332,178548,sup 1259,PA_Napoli 104,Italia,Napoli,Basilica di S. Chiara,,,Anonimo,,Sarcofago di Giovanni Battista Sanfelice,Anonimo sec. IV/ III a.C.,scultura,Arte greca,sarcofago,,,"Fotografia incollata su cartoncino; supporto secondario mm 309x381.

","Foto sup 1259, verso: nota anonima manoscritta: ""Santa Chiara. Naples. Ancient sarcophagus with myth of Protesilaus and Loadamia used ad a tomb by Giov. Baptista San Felice in 1632. Alibi monumentum eram Sanctum Felicem oppidum Sanfelicia familia condidit nomen derivavit ibi me posuit longum dominatum abiecit inola ni mihi desim hic sum ad ossa J. Baptista postremi domini ac Caesaris ..."".
&#10;
&#10;Il sarcofago greco è stato reimpiegato come tomba di Giovan Battista Sanfelice (1632).",\FONDO_SUPINO\Italia\Napoli\sup 1259.jpg,801259,104089,sec. IV/ III a.C.,1855-1899,1855,1899,,"Santa Chiara. Naples. Ancient sarcophagus with myth of Protesilaus and Loadamia used ad a tomb by Giov. Baptista San Felice in 1632. Alibi monumentum eram Sanctum Felicem oppidum Sanfelicia familia condidit nomen derivavit ibi me posuit longum dominatum abiecit inola ni mihi desim hic sum ad ossa J. Baptista postremi domini ac Caesaris ..."".
",incomplete
333,178566,sup 1260,PA_Napoli 105,Italia,Napoli,Museo Archeologico Nazionale,,Sommer - Napoli,"Sommer, Giorgio",Napoli. Museo Nazionale. Giulio Cesare,,Anonimo sec. I/ II,scultura,Arte romana,busto,75,NR,"Fotografia incollata su cartoncino; supporto secondario mm 361x295.

","Foto sup 1260, verso del supporto secondario: nota anonima manoscritta: ""Farnese"".",\FONDO_SUPINO\Italia\Napoli\sup 1260.jpg,801260,104090,sec. I/ II,1855-1899,1857,1899,,"Farnese"".",complete
334,178568,sup 1261,PA_Napoli 106,Italia,Napoli,Museo Archeologico Nazionale,,Sommer - Napoli,"Sommer, Giorgio",Museo di Napoli. Paride. Elena,,Anonimo sec. IV a.C.,scultura,Arte greca,rilievo,1588,,"Fotografia incollata su cartoncino; supporto secondario mm 385x300.

","Foto sup 1261, verso del supporto secondario: nota anonima manoscritta: ""From the Duke of Noyas Collection. Peitho is the goddess of persuasion. Friedricks Wolters N° 1873"".",\FONDO_SUPINO\Italia\Napoli\sup 1261.jpg,801261,104091,sec. IV a.C.,1855-1886,1880,1899,,"From the Duke of Noyas Collection. Peitho is the goddess of persuasion. Friedricks Wolters N° 1873"".",complete
335,178577,sup 1262,PA_Napoli 107,Italia,Napoli,Museo Archeologico Nazionale,,Ed. Alinari,"Alinari, Fratelli",Napoli - Museo Nazionale. Scena famigliare (Pompei),,Anonimo sec. I a.C./ I,scultura,Arte greco-romana,rilievo,19037,,"Fotografia incollata su cartoncino; supporto secondario mm 313x381.
La foto compare nel Catalogo Alinari Campania o Napoletano 1907.
",,\FONDO_SUPINO\Italia\Napoli\sup 1262.jpg,801262,104092,sec. I a.C./ I,1855-1899,1855,1899,1854-2019,,missing
336,178585,sup 1263,PA_Napoli 108,Italia,Napoli,Museo Archeologico Nazionale,,,Anonimo,Museo di Napoli: Atleta di Afrodisio: Sorrento,Statua di palestrita,Anonimo sec. I,scultura,Arte greca,statua,63,NR,"Fotografia incollata su cartoncino; supporto secondario mm 365x305.
","Foto sup 1175, verso del supporto secondario: nota anonima manoscritta: ""Museo Nazionale Napoli. The boxer of Aphrodisios from Sorrento"".
&#10;
&#10;Foto sup 1263, verso del supporto secondario: nota anonima manoscritta: ""Collignon says that this boxer is a copy of an original of the 5.th century B.C."".",\FONDO_SUPINO\Italia\Napoli\sup 1263.jpg,801263,104051,sec. I,1855-1899,1855,1899,,"Collignon says that this boxer is a copy of an original of the 5.th century B.C."".",complete
