,Unnamed: 0.1,Inv,Note,status
500,500,sup 830,"From S. Giacomo in Settimiana near the Farnesina, circa 400. Luc. M. Claudiano viro perfectissimo, qui vixit plus minus annis ..."".",incomplete
501,501,sup 836,"This seated boxer was infibulated [!] as was of the wont of athletes"".
",complete
502,502,sup 846,"The seated boxer found in 1884 on putting down the foundations of the theatre in Via Nazionale. Epigram on boxer Stratophon to show ..."".",incomplete
503,503,sup 854,"Cloister of S. Maria della Pace. Monument of Giovanni Bocciacio, bishop of Modena, papal ambassador to Ferrara, who died in 1497"".",complete
504,504,sup 856,"Santa Maria della Pace. Beatrici et Laviniae Ponzettis indolis festivitatisque admisandae quas Neapolis tulit Roma probe educavit pestilentia quae ..."".",incomplete
505,505,sup 858,"Santa Francesca romana. Monument to Rido the condottiere who captured and made away with the great cardinal Vitelleschi in the castle of St. Angelo in 1440. It is the only horseman tomb in Rome. Date circa 1470"". ",complete
506,506,sup 862,"Cardinibus sancte cardo famosus in almis Ecclesiae cupus Camerarius omnia toto ..."".",incomplete
507,507,sup 872,"Ara Coeli. Tomb of Cardinal Louis d'Albret, who died in 1465. It is of the school of Mino, if not by that master..."". ",incomplete
508,508,sup 869,"Ara Coeli. The tomb of Filippo de Valle who died in 1494 aged 63. Philippo de Valle patricio ro. philosophia bonarumq. litter. gloria ..."".",incomplete
509,509,sup 879,"Ara Coeli. Tomb of Vana Aldobrandesca wife of Luca Savelli, senator of Rome who died in 1266. His tomb is opposite in the same chapel ..."".",incomplete
510,510,sup 883,"Ara Coeli. Monument of Cardinal Savelli erected in his life time. He died in 1498. The inscription says ..."".",incomplete
511,511,sup 177,"Now in the Brera Museum. The arms are those of Sforza quartering Visconti. / The so called Banco Mediceo, now demolished, was a palazzo which Francesco Sforza / gave to the old Cosimo de' Medici. Cosimo sent from Florence Michelozzo, a scholar / of Donatello to ornament the same; of this work only this door remains. The medallions / of Sforza and Bianca Visconti, his duchess, are said to be of Bambaja"".",complete
512,512,sup 886,"Ara Coeli. Tomb of Ludovico Grato Margani, who died in 1531. Above is a beautiful statue of Christ by the younger Sansovino"".
",complete
513,513,sup 887,"Ara Coeli. Tomb of Antonio Albertoni who died in 1509 aged 48. The lions in the frieze have reference to his coat [!] of arms, and also to the story of San Antonio Abbate"".
",complete
514,514,sup 888,"Ara Coeli. In the passage to the transept. Monument of Bishop Petre di Vicenza who died in 1504. It is supposed to be the work of the older Sansovino ..."".
",incomplete
515,515,sup 182,"Andrea di Milano, at the Brera. / The oldmen are Giuseppe and Zaccarias. / It is like a Gian Bellini but bolder and not / so rich in color.""",complete
516,516,sup 890,"Hic jacet venerabilis vir dominus Johannes de Crivellis de Mediolano, archidiaconus ..."". ",incomplete
517,517,sup 899,"Hic jacet Dom. Stephan d. Surd. dni P. P. capellan ..."".",incomplete
518,518,sup 69,"Guercino. Milan. This is the picture that Lord Byron made famous.""",complete
519,519,sup 900,"S. Marco. Rome. Doorway probably by Giuliano da Maiano about 1460"". ",complete
520,520,sup 902,"Cardinal Alain's brother ...""",incomplete
521,521,sup 1295,"S.a Prassede. Portion of monument of Cardinal Alani ..."". 
",incomplete
522,522,sup 907,"Santa Sabina. Tomb of Munio de Zamora, 7 th. general of the Domenicans, a slab ornamented with mosaics, the work of Magister Jacobus de Turrita ..."".",incomplete
523,523,sup 908,"S. Salvatore in Lauro. Rome. Tomb of Eugene IV who died in 1447. We are told that Isaia da Pisa made this monument ..."". ",incomplete
524,524,sup 910,"S. Salvatore a Ponte Rotto. Rome. Apse of the church of the 12 th. century. The church itself was completely altered in 1471 by Pope Sixtus IV, whose coat appears almost erased in the photo"". 
",complete
525,525,sup 1845,"San Gemignano. / Torre del Comune. 175 feet high, built in 1298. / The Collegiata at its foot. Since 1441, eleven times / has this tower been struck by lightning. / The low balcony at the foot of the tower is the ""Ringhiera"" / from which sentences were read and public news given ont"".",complete
526,526,sup 911,"Tomb of cardinal Pietro Stefaneschi, who died in 1417. In S. Maria in Trastevere. Francesco Sforza shut him up in the Castle of S. Angelo because he had negociated ..."".",incomplete
527,527,sup 912,"S. Maria in Trastevere. Tomb of Cardinal Philippe d'Alencon who died in 1397. Francorum genitus regum de stirpe Philippus Alenconiades ..."". ",incomplete
528,528,sup 1847,"Romena in the Casentino, the ruined caste of the counts / Guido, Alessandro and Aghinolfo. / Here it was that Maestro Adamo falsified / ""la lega suggellata del Batista"". Inferno XXX."".",complete
529,529,sup 2175,"Angelo e Francesco di m.o Pietro d'Assisi: 1362"".",complete
530,530,sup 1852,"Dennis says that this lamp, of Corinthium brass and weighing / 170 Tuscan pounds, throws into the shade every torentie / work yet found in Etruria. / From the elaborate decoration of its under surface, it was / found at the bottom of the hill of Cortona in a ditch / and bought by Dennis says that this lamp, of Corinthium brass and weighing 170 Tuscan pounds, throws into the shade every torentie work yet found in Etruria. From the elaborate decoration of its under surface, it was found at the bottom of the hill of Cortona in a ditch / and bought by Signor Tommasi for 700 scudi.""",complete
531,531,sup 1853,"This beautiful sarcophagus is a graeco-romano work and was /  much studied by Donatello and Fil. Brunelleschi"".",complete
532,532,sup 936,"Right bank of Tyber below Ponte Rotto. Old Parkers Etruscan lions heads. Says Pietro Ligorio ..."".
",incomplete
533,533,sup 937,"S. Gregorio Magno. Facing of the altar of the Cappella delle Anime, a fine work of the 15 th. century presented by ..."". ",incomplete
534,534,sup 940,"In a chamber off the cloister of S. Maria di Monserrato. This altar piece comes from the deserted S. Giacomo"".",complete
535,535,sup 1855,"Florence. / Giotto's Campanile. / Man building his first house, a tower"".",complete
536,536,sup 947,"Sacristy of S. Maria Maggiore. Part of a destroyed ciborio. Of the school of Mino. About 1500"".",complete
537,537,sup 948,"Sacristy of S. Maria Maggiore. Part of a destroyed ciborio. Of the school of Mino. About 1500"".",complete
538,538,sup 949,"Sacristy S. Maria Maggiore. Fragments of Cardinal Estoteville's ciborio ..."". ",incomplete
539,539,sup 950,"Sacristy of S. Maria Maggiore. Fragments of the ricco ciborio dell'antico altare papale eretto dall Card. Rotomagense ..."". ",incomplete
540,540,sup 1859,"Giottos Campanile begun by him in 1334 (he died in 1336). / and finished by Taddeo Gaddi. / It is 276 feet high and was to have had / a spire 96 feet higher"".",complete
541,541,sup 957," Sacristy of S. Maria Maggiore. Fragments of Cardinale Estotevilles ciborio. S. Lorenzo. Angel supporting the half of a shield with the Cardinals arms ..."".",incomplete
542,542,sup 958,"S. Maria del Popolo. Cappella of Santa Caterina. Cardinal Costa, Lucrezia Borgia's ..."".",incomplete
543,543,sup 961,"Corridor of Sacristy of S. Maria del Popolo. Altar piece with the Virgin between S. S. Augustin and Catherine ..."".",incomplete
544,544,sup 964,"San Cesareo. Cosimati work of the 13 th. century. The high altar has been preserved intact ..."". ",incomplete
545,545,sup 965,"S. Cesareo. Rome. Bishops Cathedra of Cosimati work, of the 13 th. century, has been recast in the 17 th."". ",complete
546,546,sup 972,"Cancelleria. Rome. Window and Balcony of the exterior. about 1495"".",complete
547,547,sup 1876,"Convento dell'Osservanza. Siena. / Incoronazione de Maria Vergine con Angeli e Santi. / Luca Della Robbia"".",complete
548,548,sup 975,"Borgo. Roma. Palazzo Torlonia già Giraud built in 1506 by Bramante for Cardinale Adriano da Corneto who presented it to Henry VIII. Cardinal Wolsey resided here. The principal entrance is of the last century"".",complete
549,549,sup 1878,"Convento dell'Osservanza. / Predella. Annunciazione. / Luca Della Robbia"".",complete
550,550,sup 1882,"Fonti Battesimali / Sta Fiora. Andrea Della Robbia"" e nota cancellata: ""Dettaglio della predella della Madonna della Cintola"".",complete
551,551,sup 990,"Tombs on the Via Latina. Rome. Stucco ornamentation of the ceiling end of first, or beginning of the second century"".
",complete
552,552,sup 1052,"Tombs on the Via Latina. Roma. Stucco ornamentation of the roof. On the end of the 1. rst. century or beginning of the second"".",complete
553,553,sup 1172,"Ponte Nomentano built by Narses in 530. It was fortified ..."". ",incomplete
554,554,sup 980,"Caracalla's arch (quadrifrons) of white marble at Tebessa (Theveste). / It was built in the years 211, 212 A. D. and dedicated a Sept. Severus, / Julia Donna and Caracalla. / By the inscription it seems to have been erected, or at least repaired / by a certain Quintus Clodius. / It is the finest quadrifrons arch existing. / In the 6th Century it was built into the walls of Theveste by Salomon, / Belisarius lieutenant"".
",complete
555,555,sup 983,"This tower of the 12th century is built on an enormous circular tomb"".",complete
556,556,sup 1883,"S. Fiora. Madonna della Cintola. Andrea della Robbia"" e nota cancellata: ""Chiesa degli Angeli di Verna"".",complete
557,557,sup 987," Rome. Monument within the grounds of SS. Giov. e Paolo on the Celion. Some call there remains the Claudium, or temple of Claudius, others the Vivarium, or Spoliarium"".",complete
558,558,sup 1886,"Santa Fiora nel Monte Amiata. / Ciborio nella chiesa appartenente al Principe Sforza Cesarini. / Luca della Robbia"".",complete
559,559,sup 1888,"Cimitero della Misericordia. Montepulciano. / Luca Della Robbia"".",complete
560,560,sup 1889,"Ufficio della Pretura. Montepulciano. / Scuola dei della Robbia"".",complete
561,561,sup 1017,"Casal Rotondo at the 6th. miles on the Appian, probably the tomb of Messala Corvinus the friend of Horace and of his son ..."".",incomplete
562,562,sup 1890,"Chiesa della Madonna delle Grazie, / fuori di Montepulciano. / Luca della Robbia"".",complete
563,563,sup 1018,"Of pentelic marble and therefore considered an original by Helbig; Fr. Wolkers n. 1198 thinks it an Attic copy of which the original ..."".",incomplete
564,564,sup 1889,"Palazzo Municipale di Montepulciano. / Lunetta di Luca della Robbia"".",complete
565,565,sup 1892,"La Verna. / Luca della Robbia"".",complete
566,566,sup 1021,"To the left Pluto carries of Proserpina"".",complete
567,567,sup 1893,"La Verna. / Luca della Robbia"".",complete
568,568,sup 1024,"Of Greco-romano art; Late and not very good"". ",complete
569,569,sup 1025,"He appears to be archaistic"".",complete
570,570,sup 1906,"The Calydonian boar hunt, a sarc. in the court of the / Palazzo Riccardi, Florence. In the 14th. century it / became the tomb of Guccio dei Medici. The balls were / then nine in number"".",complete
571,571,sup 1909,"Porta dell'Arco. Volterra. / The masonry for the most part consists of panchina (a yellow / arenaceous tertiary full of shells), so do the doorposts (9'x 2'x 2') / of the onter arch: the imposts and voussoris are of travertine / and the three heads of a dark stone, possibly peperino, much / probably of selagite from Monte Catino with a dash of mica. / The middle head is, I think, that of a young woman, the others / those of elderly persons, male or female, probably the protecting / deities of the Etruscan city... "".
",incomplete
572,572,sup 2276,"La Porta dell'Arco of Volterra of Etruscan times showing the medieval truncated towers"".",complete
573,573,sup 1033,"Museo Nazionale. Roma. This is Flavia Publicia, massima in 247 of the Chr. era"".",complete
574,574,sup 1912,"Pienza. / A Piviale belonging to Pio II"".",complete
575,575,sup 1914,"Volterra. / Entrance to town. Duomo and Campanile; palazzo dei Priori; Pretorio; the / Palace of the Capitano di Giustizia"".
",complete
576,576,sup 2045,"Volterra. / Palazzo dei Priori. / Of the beginnins of the 13th. century, but windows, roof and towers / later. The lions outside were put up by the Florentines after / their victory in 1472"".",complete
577,577,sup 1915,"Siena. / Porta Ovile to show a barbican or antiport"".",complete
578,578,sup 1036,"Arc of Titus. Rome. It is not much more than a copy of the original arc. It was restored, or almost entirely renoved about 1820 by Valadier. The basreliefs are original"".
",complete
579,579,sup 1916,"Erected in 1523 by Antonia Vespucci to her husband Antonio  / Strozzi, Caesarian jurisconsult"".",complete
580,580,sup 1039,"Tomba dei Pancratii on the Via Latina. circa 188. The judgment of Paris, a beautiful stucco-relief."".",complete
581,581,sup 1918,"Tomb of Aldobrandino Cavalcanti, bishop of Orvieto, a / domenican who raised much money to built S.a M. Novella, / which he only saw commenced, as he died in 1279. / The Artist is unknown. The Virgin and Child is a work of / Nino Pisano, circa 1350"".",complete
582,582,sup 1040,"Tomba dei Pancratii. Via Latina circa 188. Priam before Achilles"".",complete
583,583,sup 1055,"Tomba dei Pancratii on the Via Latina, circa 188. The myth of Alcestes, Hercules interceding with Pluto"".",complete
584,584,sup 1054,"Tomba dei Pancratii. Via Latina. circa 188. The crowned Hercules Citharoedus making sweet music"".",complete
585,585,sup 1919,"Marsilio Ficino, who died in 1499, has a copy of Plato in his / hands. The reverse of a medal of him, which I have, says, ""Platone"". / Ferucci was a good second class artist. / See Perkins. / Ex hospes hic est Marsilius sophiae pater / Platonicum qui dogma culpa temporum / Situ obrutum illustrans et atticum decus / Servans Latio dedit fores primus sacras..."".",incomplete
586,586,sup 1921,"This bronze Cassa, which was finished in 1446, is much praised / by Perkins. The little child fluttering in the air is the soul of the / little corpse on the ground"".",complete
587,587,sup 1922,"Firenze. Duomo. Monument to Sir John Hawkwood, one of the Black / Princes captains, who came into Italy in 1364 and went on slanghtering / and robbing and blackmailing until his death in 1394. / E la repubblica, says Gregorius, che negò sepoltura a Dante / eresse a quel ladro un onorevole monumento nel suo duomo. / There is a good story about this Messer Giovanni Augut a / due frati minori in Sacchetti's novelle. ""Dio vi tolga la / vostra elemosina"", answered he to them on their saying to him: / ""Dio vi chà pace. / [...] / Vasari makes an amusing remark about Paolo not being / pratico con cavalli, which proves that Giorgio himself / was not so very knowing in horseship. / Hawkwood could not write; his secretary signed for him [...] H. / put his seal to the document"".",incomplete
588,588,sup 1058," Exterior of the Sistine Chapel, built for Pope Sixtus 4. by Baccio Pontelli in 1473 ..."".",incomplete
589,589,sup 1062,"The Monzone, called casa di Pilato (perhaps from a Teofilato) and casa di Rienzi ..."".",incomplete
590,590,sup 1077,"Tor Millina. about 1450. in stadium of Domitian ..."".",incomplete
591,591,sup 1086,"The Priorato. Tomb of Bartolomeo Caraffa, of the knights of S. John, Prior of Rome and Hungary and Senator of the alma urbs under Boniface the 9. th. He died in 1405. The monument is signed by Magister Paulus"". ",complete
592,592,sup 1091,"Arc of Dolabella and Silanus, consuls A. D. 60. Surmonted by castello d'acqua of the Claudian Aqueduct A. D. 60 ...""",incomplete
593,593,sup 1281,"Arc of Dolabella Cicerons son in law. Celian"".",complete
594,594,sup 1033,"S. Maria sopra Minervam. Slab tomb of Juan Rodriguez de Coca, bishop ..."".",incomplete
595,595,sup 1033,"The Priorato. Tomb of Bishop Spinelli who died, judging on from the Gothic writing of his incrisption, about 1400. The Roman sarcophagus with a basrelief representing the deities of Olympus is of the 3th century..."".",incomplete
596,596,sup 1933,"Palazzo Vecchio Florence built in 1298 by Arnolfo di Lapo. / The stalk of the tower is older, its upper portion later, being / added by Taddeo Gaddi"".",complete
597,597,sup 1934,"The Palazzo of the Podestà was built about 1250-1255. / Of late years it has been completely restored, / almost rebuilt. / The tower of the Monastery of the Badia was the first / tower of the Podestà before 1250. It was then / called Bocca di Ferro, probably after the Bolognese family / of that name, then La Castagna, and is now called / Torre di Dante from being situated opposite / the back of the Poets' house. / The entrance of this house is in via S. Mrgherita. / The back door with the modern inscription is that / of the shop forming part of the Torre & Casa degli / Aldighieri. / M. Albertinelli after leaving off painting held / his inn in Dante's house"".",complete
598,598,sup 1105," An old river tower at the foot of the Aventine converted into a dewelling house.."".",complete
599,599,sup 1106,"Torre de Pier Leone opposite his principal fortress, the theatre of Marcellus, called in the Mirabilia, templum Ciceronis ..."".",incomplete
600,600,sup 1108,"Costantines arc decorated with bas relief from trayans arc ..."".",incomplete
601,601,sup 1120,"One of the 3 Columbaria in the Vigna Codini near the Porta Latina ..."".
",incomplete
602,602,sup 1127,"Tower and palace of the Margani on the ruins of the Circus Flaminius, erected about 1350. Ignatius Loyola lived in the palazzo Margana in 1549"".
",complete
603,603,sup 1129,"Atrium of S. Gregorio on the Celian. Monument of Sir Edward Carne, ambassador from Philipi ..."".",incomplete
604,604,sup 1134,"Basso. Details of Plinth"".
",complete
605,605,sup 1135,"Basso. Details. Feet of one of the Virtues"".
",complete
606,606,sup 1136,"Basso. Details. Feet of one of the Virtues"".
",complete
607,607,sup 1201,"Basso. Details. One of the Virtues"".
",complete
608,608,sup 1485,"S. Maria del Popolo. Monument by the older Sansovino to Cardinal Girolamo Basso, who died in 1507..."".
",incomplete
609,609,sup 1141,"San Lorenzo fuori le mura lately restored. The Atrium is of the years 1216-1226"".
",complete
610,610,sup 1144," Porta Trigemina at foot of Aventine, gateway in Servian wall, now Arco Salara"". 
",complete
611,611,sup 1148,"Museo delle Terme. Upstairs. Sarcophagus showing the games and revels carried on by the Satyrs and Menads and other followers of Dionysos. It is one of the finest sarc. known and was found some 10 years ago with many others in the sepulcher of the Calpurnii Pisones near the Porta Salaria"". ",complete
612,612,sup 1152,"Atrium of S. Gregorio. Details of Bonsi monument"".
",complete
613,613,sup 1314,"Atrium of San Gregorio. Monument to the Bonsi brothers, a lovely piece of Florentine art, supposed to be about 1490..."". ",incomplete
614,614,sup 1154,"In cloister of S. Agostino, now part of Admiralty palace. The tomb of Costantia the mother of Jacobus Ammanati, Cardinal Papiensis ..."".
",incomplete
615,615,sup 1156,"Costantia Ammanati +1477"".",complete
616,616,sup 1158,"Monument of Cardinal Ammanati who died in 1479. This most beautiful of ciborio tombs, looking like a Mino ..."". ",incomplete
617,617,sup 1162,"Sepulchral cippus of Quintus Sulpicius Maximus a learned boy of 12 years of age, who won the prize for Greek poetry instituted by Domitian, from 52 competitors [...] The cippus was found in 1871 at the Porta Salaria"".
",incomplete
618,618,sup 1165,"Museo nuovo nel palazzo dei Conservatori. Sarcophagus from new exscavations on Esquiline with Nereids and Tritons ..."".
",incomplete
619,619,sup 1938,"The high tower is that of the Caponsacchi (Dante) called also that of the Arnieri, / who had a tower and palazzo adjoining it. It was given to the Arte de' Medici /  and Speziali to which guild Dante belonged and has its coat in situ. / The high tower to the extreme right is said to the that of the Migliorelli"".
",complete
620,620,sup 1166,"Museum in Baths of Diocletian. Put together with piece fished out from the bed of the Tyber ..."".
",incomplete
621,621,sup 1170,"Sforza. Details. Feet of a Virtue"".
",complete
622,622,sup 1319,"Sforza. Details of Plinth"". 
",complete
623,623,sup 1320,"Sforza. Details of Sarcophagus"". 
",complete
624,624,sup 1321,"Sforza. Details. Head of a Virtue"". 
",complete
625,625,sup 1322,"Sforza. Details. Feet of a Virtue"".
",complete
626,626,sup 1324,"Sforza. Details. A virtue"".
",complete
627,627,sup 1325,"Sforza. Details. A virtue"".
",complete
628,628,sup 1532,"S. Maria del Popolo. Monument erected by Julius 2. to Cardinal Ascanio Sforza ..."".",incomplete
629,629,sup 1940,"The lofty tower in the third story of which Maria Viverelli keeps her albergo / was that of the Catellini da Castiglione, mentioned by Dante. / ""Ghibellini e Grandi furono quasi sempre esclusi dagli uffici."" Carocci. / The Ubaldini had possession of it before them and continued to own a part / of it down to the XVIth century"".
",complete
630,630,sup 1171,"Cardinal Adam Easton again 1397""",complete
631,631,sup 1628,"Santa Cecilia in Trastevere. Monument of Cardinal Adam, the Englishman, who died in 1397 ..."".
",incomplete
632,632,sup 1174,"The Gotic church within the walls of the Gaetani fortress of which the tomb of Cecilia Metella was the keep"". 
",complete
633,633,sup 1177,"Sarcophagus of Peperino of P. Cornelius Scipio Barbatus B. C. 298"".
",complete
634,634,sup 1181,"S. Maria in Monserrato. Monument of Ferdinand of Cordova, papal underdeacon, a most learned man who died in 1486 ...""",incomplete
635,635,sup 1193,"Details of Monument of Ferdinand of Cordova"".",complete
636,636,Il palazzo Catellini da Castiglione è quello che si intravede sul fondo della via dei Cavalieri che la foto sup 1941 documenta.,,complete
637,637,sup 1625,"Details of tomb of Bishop Gabriel Merino"".",complete
638,638,sup 1185,"Cloister of S. Maria di Monserrato. Monument to Gonsalvo de Veteta knight of St. James ..."".",incomplete
639,639,sup 1186,"Monument of Juan de Mella, Cardinal of Zamora, who died in 1467 ...""",incomplete
640,640,sup 1187,"Details of Monument of Juan de Mela"".",complete
641,641,sup 1189," S. Maria in Monserrato. Monument of Rodrigo Valdes, Bishop of Zamora ...""",incomplete
642,642,sup 1194,"Details of monument of Rodrigo Valdes"".",complete
643,643,sup 1626,"Details of Monument of Rodrigo Valdes S. Maria in Monserrato"".",complete
644,644,sup 1192,"S. Maria di Monserrato in cloister. Slab tomb of Rodrigo Sanchez, bishop of Palencia. who died in 1470 ..."".",incomplete
645,645,sup 1944,"This is one of the sarcophagi that in Boccaccios time lay between Santa / Reparata and San Giovanni and over which Guido Cavalvanti / jumped after letting off his ""motto"". See Decameron Giorn. VI. Novella 9. / Boccaccio calls ""quelle arche grandi di marmo"", case de morti"". / This one bears the arms of the great family of the Abati. Inf. XXV"".",complete
646,646,sup 1200,"Palazzo del Governo Vecchio già Nardini"".",complete
647,647,sup 1202,"Achilles and Pentesilea, or Pluto and Proserpina [...] Alexandrine or ellenistic period circa 300 B.C., an exellent piece of greek sculpure found in the Tyber"".
",incomplete
648,648,sup 1282,"Tower of the Winds, angle tower of the Leonine city, built by Pope Leo 4. in 850 ..."".
",incomplete
649,649,sup 1292,"Torre della Scimmia. abou1450. Hilda's tower. It is a tower of the Scapucci palace [...] La Fiammetta has a tower like a baron!!!"".
",incomplete
650,650,sup 1318,"The beautiful Faith of Paul the seconds tomb by Mino da Fiesole. Perkins reviles the bas relief of the ascention"".",complete
651,651,sup 1342,"N. 4 of the Museum. Aphrodite unclothing herself. By some she is said to be of a type of Venus genetrix and of alexandrine times [...] Found near S. Anastasia"".
",incomplete
652,652,sup 51,"Tower of the Counts of Anguillara (Orsini) about 1070. It was surrounded by fortifications of opus saracenescum. The arc in the foreground, called Arco dell'Annunziata, has since been removed and so have [...] A few years ago a Presepio used to be annually exhibited in a room at the top of the tower at Xmas time. The tower is also called Tor de' Forti from a family of that name that has a palazzo in the neighborhood"".
",incomplete
653,653,sup 1479,"S. Maria in Trastevere. Altar erected to Philipi and James by Cardinal Alencon about 1390 ..."". ",incomplete
654,654,sup 1482,"Jonah in S. Maria del Popolo - designed and probably modelled by Raphael executed by Lorenzotto"". ",complete
655,655,sup 1491,"S. Maria del Popolo. Bronze monument of a so called unknow bishop, by some attributed to Pollaiuolo . I discovered the coat of the Foscari engraved on the pillow..."".
",incomplete
656,656,sup 1495,"S. Maria del Popolo. Tomb of Marco Albertoni son of the Roman Knight Antonio Albertoni. Marco died in 1485. This monument is figured in Perkins"".
",complete
657,657,sup 1499,"S. Maria del Popolo. The della Rovere ciborio a lovely work of a school of Mino. Oleum sanctum is the inscription"".
",complete
658,658,sup 1503,"S. Maria del Popolo. Monument of Cardinal Podocatharo, the learned Greek who eas Alexander VI's secretary ..."".",incomplete
659,659,sup 1505,"S. Maria del Popolo. Tomb of Giovanni della Rovere sisters son to Sixtus 4., who died in 1483, aged 30. The beautiful frescors are by Pinturicchio"".
",complete
660,660,sup 1506,"S: Maria del Popolo. A portion of the monument of Giambattista Millini who died in 1478 aged 73 years ..."".",incomplete
661,661,sup 1511,"S. Maria del Popolo. Roma. Elegant door of the Church built of Baccio Pontelli in 1472-1477 for the Pope Sixtus IV"".
",complete
662,662,sup 1513,"S. Maria del Popolo"". ",complete
663,663,sup 1947,"Florence. / Museo nazionale"".
",complete
664,664,sup 1514,"S. Maria del Popolo. Monument of Cardinal B. Lonato, who died in 1497 ...""",incomplete
665,665,sup 1572,"Monument of Cardinal Lonato +1497"".",complete
666,666,sup 1518,"S. Maria del Popolo. Monument of Nestor Malvizio of Bologna, a knight of Jerusalem, who died in 1488 aged 41. The fine reeling bishop close by is of the following century"".",complete
667,667,sup 1520,"S. Maria del Popolo. The tomb of Juan Ortega Gomiel, bishop of Burges, who died in 1500. At his death he was 41 years old: he was an official of Alexander IV"".",complete
668,668,sup 1521,"S. Maria del Popolo. Tomb of George Costa, cardinal of Lisbon ..."".",incomplete
669,669,sup 1957,"Florence. / Museo nazionale"".",complete
670,670,sup 1526,"S. Maria del Popolo. Monument of Cardinal Antoniotto Palavicini who died in 1507 aged 66 years ..."".",incomplete
671,671,sup 1529,"S. Maria del Popolo. Monument of Cardinal de Castro who died in 1506 in his 76 th. years ..."".",incomplete
672,672,sup 1530,"Sacristy of S. Maria del Popolo: Monument of Pietro G. Rocca Archbishop of Salerno who died in 1482"".",complete
673,673,sup 1533,"Tomb in the form of a temple in the porch of S. Lorenzo f. l. mura"". ",complete
674,674,sup 1958,"Florence. / Museo nazionale"".",complete
675,675,sup 1959,"Florence. / Museo nazionale"".",complete
676,676,sup 1960,"Florence. / Museo nazionale"".",complete
677,677,sup 1535,"Tomb of Cardinal Guillelmo Fieschi in S. Lorenzo f. l. mura. He died in 1256 ..."".",incomplete
678,678,sup 1540,"This Joannes Arberinus, Jacobi filius, who lived to the age at 85 ..."".",incomplete
679,679,sup 1541,"S. Maria sopra Minerva. Slab tomb of Fra Angelico da Fiesole who died in 1453 ..."".",incomplete
680,680,sup 1961,"Museum in the Bargello. Florence. / Luca della Robbia's dancing boys for the organ loft at the Duomo / the altorelievo is of marble and of about 1450. / Luca lived from about 1400 to 1482"".",complete
681,681,sup 1542,"Cloister of S. Maria sopra Minerva. Tomb of Cardinal Astorgius who died in 1451 ..."".
",incomplete
682,682,sup 1547,"S. Maria sopra Minerva. Cloister built by Cardinal Torquemada in 1453 ..."".",incomplete
683,683,sup 1545,"Minerva. Detisalvo Neronis f. equiti floren. viro ..."".
",incomplete
684,684,sup 1546,"S. Maria sopra Minerva. Tomb of Francesco Tornabuoni, a florentine, who died sometime after 1471 ..."".",incomplete
685,685,sup 1947,"Museum in the Bargello. Florence. / Relief by Benedetto da Rovezzano (1478-1552). / Benedetto was most unfortunate, for his two great works, the chapel and tomb / of S. Giovanni Gualberto in S. Trinità Florence, and the tomb of Cardinal Wolsey / in England, have both come to grief. He ceased to work in 1540, blind, says Vasari, but / not in want and full of courage"".",complete
686,686,sup 1548,"S. Maria sopra Minerva. Tomb of Benedetto Soranzo, a venetian noble, archbishop of Nicosia ..."".",incomplete
687,687,sup 1549,"Cloister of S. Maria sopra Minerva. Monument of Cardinal Ferrex who died in 1478 ..."".",incomplete
688,688,sup 1550,"S. Pietro in Vincoli. Monument of Antonio del Pollaiolo who died in 1498 ..."".",incomplete
689,689,sup 1965,"This painted terra cotta Etruscan Lady, Larthia Seianti S... (of the family / of Sejanus) was discovered at Chiusi in 1877, brought to Rome and placed / in the Kircherian in 1878 and then removed to the Museum at Florence, / where she now is. She wears a quantity of jewelry: a fillet of flowers with / rubies and emeralds; a girdle studded with rubies; [...] / The date of this monument is said to be 217 B.C. / It cost the Government 10,000 fes. only"".
",incomplete
690,690,sup 1967,"The painted lady came from Chiusi; the great tufo sarc. from Orvieto"". Quest'ultima foto documenta l'allestimento ottocentesco della sala del Museo Archeologico di Firenze dove era conservato il sarcofago di Larthia Seianti.",complete
691,691,sup 1553,"S. Pudenziana. Rome. Porch of the 8. th. century rebuilt in the 17. th. The whole facade lately renowed by Cardinal Bonaparte"".",complete
692,692,sup 1557,"Pyramid of Caius Cestius ..."".",incomplete
693,693,sup 1554,"S. Pudenziana. Campanile about 1200"".",complete
694,694,sup 1556,"Catacombs. Rome. Fresco of an Orante (772-795) from the Catacombs of SS. Saturnino e Trasone on the Via Salaria"".",complete
695,695,sup 1558,"Tomb of Cecilia Metella called Torre de Bove, or Capo de Bove ..."".",incomplete
696,696,sup 1560,"Interior of Porta San Sebastiano with Arch of Drusus and aqueduct thereon"".",complete
697,697,sup 1561,"Interior of Porta di San Paolo. Gateway fortress of Honorius, a. d. 400 ..."".",incomplete
698,698,sup 1563,"Exterior of Porta di San Lorenzo. The stone work is of the age of Honorius a. d. 400 ..."". 
",incomplete
699,699,sup 1087,"Porta S. Lorenzo. Shows the interior anteport destroyed in my time"". ",complete
700,700,sup 1564,"Cancelleria. Roma. Door of Bramante circa 1505"".
",complete
701,701,sup 1565,"Cancelleria. Rome. Beautiful door of Bramante about 1505 ..."".
",incomplete
702,702,sup 1566,"Via dei Coronari. Rome. Doorway in the style of Bramante about 1500. The palazzo belonged to the Fioravanti"".
",complete
