,Inv,Note
518,"Foto sup 69, verso del supporto secondario: nota anonima manoscritta","Guercino. Milan. This is the picture that Lord Byron made famous."""
519,"Foto sup 900, verso del supporto secondario: nota anonima manoscritta","S. Marco. Rome. Doorway probably by Giuliano da Maiano about 1460"". "
520,"Foto sup 902, verso del supporto secondario: nota anonima manoscritta","Cardinal Alain's brother ..."""
521,"sup 1295, verso del supporto secondario: nota anonima manoscritta","S.a Prassede. Portion of monument of Cardinal Alani ..."". 
"
522,"Foto sup 907, verso del supporto secondario: nota anonima manoscritta","Santa Sabina. Tomb of Munio de Zamora, 7 th. general of the Domenicans, a slab ornamented with mosaics, the work of Magister Jacobus de Turrita ...""."
523,"Foto sup 908, verso del supporto secondario: nota anonima manoscritta","S. Salvatore in Lauro. Rome. Tomb of Eugene IV who died in 1447. We are told that Isaia da Pisa made this monument ..."". "
524,"Foto sup 910, verso del supporto secondario: nota anonima manoscritta","S. Salvatore a Ponte Rotto. Rome. Apse of the church of the 12 th. century. The church itself was completely altered in 1471 by Pope Sixtus IV, whose coat appears almost erased in the photo"". 
"
525,"Foto sup 1845, verso del supporto secondario: nota anonima manoscritta","San Gemignano. / Torre del Comune. 175 feet high, built in 1298. / The Collegiata at its foot. Since 1441, eleven times / has this tower been struck by lightning. / The low balcony at the foot of the tower is the ""Ringhiera"" / from which sentences were read and public news given ont""."
526,"Foto sup 911, verso del supporto secondario: nota anonima manoscritta","Tomb of cardinal Pietro Stefaneschi, who died in 1417. In S. Maria in Trastevere. Francesco Sforza shut him up in the Castle of S. Angelo because he had negociated ...""."
527,"Foto sup 912, verso del supporto secondario: nota anonima manoscritta","S. Maria in Trastevere. Tomb of Cardinal Philippe d'Alencon who died in 1397. Francorum genitus regum de stirpe Philippus Alenconiades ..."". "
528,"Foto sup 1847, verso del supporto secondario: nota anonima manoscritta","Romena in the Casentino, the ruined caste of the counts / Guido, Alessandro and Aghinolfo. / Here it was that Maestro Adamo falsified / ""la lega suggellata del Batista"". Inferno XXX.""."
529,"Foto sup 2175, recto del supporto secondario: nota anonima manoscritta","Angelo e Francesco di m.o Pietro d'Assisi: 1362""."
530,"Foto sup 1852, verso del supporto secondario: nota anonima manoscritta","Dennis says that this lamp, of Corinthium brass and weighing / 170 Tuscan pounds, throws into the shade every torentie / work yet found in Etruria. / From the elaborate decoration of its under surface, it was / found at the bottom of the hill of Cortona in a ditch / and bought by Dennis says that this lamp, of Corinthium brass and weighing 170 Tuscan pounds, throws into the shade every torentie work yet found in Etruria. From the elaborate decoration of its under surface, it was found at the bottom of the hill of Cortona in a ditch / and bought by Signor Tommasi for 700 scudi."""
531,"Foto sup 1853, verso del supporto secondario: nota anonima manoscritta","This beautiful sarcophagus is a graeco-romano work and was /  much studied by Donatello and Fil. Brunelleschi""."
532,"Foto sup 936, verso del supporto secondario: nota anonima manoscritta","Right bank of Tyber below Ponte Rotto. Old Parkers Etruscan lions heads. Says Pietro Ligorio ..."".
"
533,"Foto sup 937, verso del supporto secondario: nota anonima manoscritta","S. Gregorio Magno. Facing of the altar of the Cappella delle Anime, a fine work of the 15 th. century presented by ..."". "
534,"Foto sup 940, verso del supporto secondario: nota anonima manoscritta","In a chamber off the cloister of S. Maria di Monserrato. This altar piece comes from the deserted S. Giacomo""."
535,"Foto sup 1855, verso del supporto secondario: nota anonima manoscritta","Florence. / Giotto's Campanile. / Man building his first house, a tower""."
536,"Foto sup 947, verso del supporto secondario: nota anonima manoscritta","Sacristy of S. Maria Maggiore. Part of a destroyed ciborio. Of the school of Mino. About 1500""."
537,"Foto sup 948, verso del supporto secondario: nota anonima manoscritta","Sacristy of S. Maria Maggiore. Part of a destroyed ciborio. Of the school of Mino. About 1500""."
538,"Foto sup 949, verso del supporto secondario: nota anonima manoscritta","Sacristy S. Maria Maggiore. Fragments of Cardinal Estoteville's ciborio ..."". "
539,"Foto sup 950, verso del supporto secondario: nota anonima manoscritta","Sacristy of S. Maria Maggiore. Fragments of the ricco ciborio dell'antico altare papale eretto dall Card. Rotomagense ..."". "
540,"Foto sup 1859, verso del supporto secondario: nota anonima manoscritta","Giottos Campanile begun by him in 1334 (he died in 1336). / and finished by Taddeo Gaddi. / It is 276 feet high and was to have had / a spire 96 feet higher""."
541,"Foto sup 957, verso del supporto secondario: nota anonima manoscritta"," Sacristy of S. Maria Maggiore. Fragments of Cardinale Estotevilles ciborio. S. Lorenzo. Angel supporting the half of a shield with the Cardinals arms ...""."
542,"Foto sup 958, verso del supporto secondario: nota anonima manoscritta","S. Maria del Popolo. Cappella of Santa Caterina. Cardinal Costa, Lucrezia Borgia's ...""."
543,"Foto sup 961, verso del supporto secondario: nota anonima manoscritta","Corridor of Sacristy of S. Maria del Popolo. Altar piece with the Virgin between S. S. Augustin and Catherine ...""."
544,"Foto sup 964, verso del supporto secondario: nota anonima manoscritta","San Cesareo. Cosimati work of the 13 th. century. The high altar has been preserved intact ..."". "
545,"Foto sup 965, verso del supporto secondario: nota anonima manoscritta","S. Cesareo. Rome. Bishops Cathedra of Cosimati work, of the 13 th. century, has been recast in the 17 th."". "
546,"Foto sup 972, verso del supporto secondario: nota anonima manoscritta","Cancelleria. Rome. Window and Balcony of the exterior. about 1495""."
547,"Foto sup 1876, verso del supporto secondario: nota anonima manoscritta","Convento dell'Osservanza. Siena. / Incoronazione de Maria Vergine con Angeli e Santi. / Luca Della Robbia""."
548,"Foto sup 975, verso del supporto secondario: nota anonima manoscritta","Borgo. Roma. Palazzo Torlonia già Giraud built in 1506 by Bramante for Cardinale Adriano da Corneto who presented it to Henry VIII. Cardinal Wolsey resided here. The principal entrance is of the last century""."
549,"Foto sup 1878, verso del supporto secondario: nota anonima manoscritta","Convento dell'Osservanza. / Predella. Annunciazione. / Luca Della Robbia""."
550,"Foto sup 1882, verso del supporto secondario: nota anonima manoscritta","Fonti Battesimali / Sta Fiora. Andrea Della Robbia"" e nota cancellata: ""Dettaglio della predella della Madonna della Cintola""."
551,"Foto sup 990, verso del supporto secondario: nota anonima manoscritta","Tombs on the Via Latina. Rome. Stucco ornamentation of the ceiling end of first, or beginning of the second century"".
"
552,"Foto sup 1052, verso del supporto secondario: nota anonima manoscritta","Tombs on the Via Latina. Roma. Stucco ornamentation of the roof. On the end of the 1. rst. century or beginning of the second""."
553,"Foto sup 1172, verso del supporto secondario: nota anonima manoscritta","Ponte Nomentano built by Narses in 530. It was fortified ..."". "
554,"Foto sup 980, verso del supporto secondario: nota anonima manoscritta","Caracalla's arch (quadrifrons) of white marble at Tebessa (Theveste). / It was built in the years 211, 212 A. D. and dedicated a Sept. Severus, / Julia Donna and Caracalla. / By the inscription it seems to have been erected, or at least repaired / by a certain Quintus Clodius. / It is the finest quadrifrons arch existing. / In the 6th Century it was built into the walls of Theveste by Salomon, / Belisarius lieutenant"".
"
555,"Foto sup 983, verso del supporto secondario: nota anonima manoscritta","This tower of the 12th century is built on an enormous circular tomb""."
556,"Foto sup 1883, verso del supporto secondario: nota anonima manoscritta","S. Fiora. Madonna della Cintola. Andrea della Robbia"" e nota cancellata: ""Chiesa degli Angeli di Verna""."
557,"Foto sup 987, verso del supporto secondario: nota anonima manoscritta"," Rome. Monument within the grounds of SS. Giov. e Paolo on the Celion. Some call there remains the Claudium, or temple of Claudius, others the Vivarium, or Spoliarium""."
558,"Foto sup 1886, verso del supporto secondario: nota anonima manoscritta","Santa Fiora nel Monte Amiata. / Ciborio nella chiesa appartenente al Principe Sforza Cesarini. / Luca della Robbia""."
559,"Foto sup 1888, verso del supporto secondario: nota anonima manoscritta","Cimitero della Misericordia. Montepulciano. / Luca Della Robbia""."
560,"Foto sup 1889, verso del supporto secondario: nota anonima manoscritta","Ufficio della Pretura. Montepulciano. / Scuola dei della Robbia""."
561,"Foto sup 1017, verso del supporto secondario: nota anonima manoscritta","Casal Rotondo at the 6th. miles on the Appian, probably the tomb of Messala Corvinus the friend of Horace and of his son ...""."
562,"Foto sup 1890, verso del supporto secondario: nota anonima manoscritta","Chiesa della Madonna delle Grazie, / fuori di Montepulciano. / Luca della Robbia""."
563,"Foto sup 1018, verso del supporto secondario: nota anonima manoscritta","Of pentelic marble and therefore considered an original by Helbig; Fr. Wolkers n. 1198 thinks it an Attic copy of which the original ...""."
564,"Foto sup 1889, verso del supporto secondario: nota anonima manoscritta","Palazzo Municipale di Montepulciano. / Lunetta di Luca della Robbia""."
565,"Foto sup 1892, verso del supporto secondario: nota anonima manoscritta","La Verna. / Luca della Robbia""."
566,"Foto sup 1021, verso del supporto secondario: nota anonima manoscritta","To the left Pluto carries of Proserpina""."
567,"Foto sup 1893, verso del supporto secondario: nota anonima manoscritta","La Verna. / Luca della Robbia""."
568,"Foto sup 1024, verso del supporto secondario: nota anonima manoscritta","Of Greco-romano art; Late and not very good"". "
569,"Foto sup 1025, verso del supporto secondario: nota anonima manoscritta","He appears to be archaistic""."
570,"Foto sup 1906, verso del supporto secondario: nota anonima manoscritta","The Calydonian boar hunt, a sarc. in the court of the / Palazzo Riccardi, Florence. In the 14th. century it / became the tomb of Guccio dei Medici. The balls were / then nine in number""."
571,"Foto sup 1909, verso del supporto secondario: nota anonima manoscritta","Porta dell'Arco. Volterra. / The masonry for the most part consists of panchina (a yellow / arenaceous tertiary full of shells), so do the doorposts (9'x 2'x 2') / of the onter arch: the imposts and voussoris are of travertine / and the three heads of a dark stone, possibly peperino, much / probably of selagite from Monte Catino with a dash of mica. / The middle head is, I think, that of a young woman, the others / those of elderly persons, male or female, probably the protecting / deities of the Etruscan city... "".
"
572,"Foto sup 2276, verso del supporto secondario: nota anonima manoscritta","La Porta dell'Arco of Volterra of Etruscan times showing the medieval truncated towers""."
573,"Foto sup 1033, verso del supporto secondario: nota anonima manoscritta","Museo Nazionale. Roma. This is Flavia Publicia, massima in 247 of the Chr. era""."
574,"Foto sup 1912, verso del supporto secondario: nota anonima manoscritta","Pienza. / A Piviale belonging to Pio II""."
575,"Foto sup 1914, verso del supporto secondario: nota anonima manoscritta","Volterra. / Entrance to town. Duomo and Campanile; palazzo dei Priori; Pretorio; the / Palace of the Capitano di Giustizia"".
"
576,"Foto sup 2045, verso del supporto secondario: nota anonima manoscritta","Volterra. / Palazzo dei Priori. / Of the beginnins of the 13th. century, but windows, roof and towers / later. The lions outside were put up by the Florentines after / their victory in 1472""."
577,"Foto sup 1915, verso del supporto secondario: nota anonima manoscritta","Siena. / Porta Ovile to show a barbican or antiport""."
578,"Foto sup 1036, verso del supporto secondario: nota anonima manoscritta","Arc of Titus. Rome. It is not much more than a copy of the original arc. It was restored, or almost entirely renoved about 1820 by Valadier. The basreliefs are original"".
"
579,"Foto sup 1916, verso del supporto secondario: nota anonima manoscritta","Erected in 1523 by Antonia Vespucci to her husband Antonio  / Strozzi, Caesarian jurisconsult""."
580,"Foto sup 1039, verso del supporto secondario: nota anonima manoscritta","Tomba dei Pancratii on the Via Latina. circa 188. The judgment of Paris, a beautiful stucco-relief.""."
581,"Foto sup 1918, verso del supporto secondario: nota anonima manoscritta","Tomb of Aldobrandino Cavalcanti, bishop of Orvieto, a / domenican who raised much money to built S.a M. Novella, / which he only saw commenced, as he died in 1279. / The Artist is unknown. The Virgin and Child is a work of / Nino Pisano, circa 1350""."
582,"Foto sup 1040, verso del supporto secondario: nota anonima manoscritta","Tomba dei Pancratii. Via Latina circa 188. Priam before Achilles""."
583,"Foto sup 1055, verso del supporto secondario: nota anonima manoscritta","Tomba dei Pancratii on the Via Latina, circa 188. The myth of Alcestes, Hercules interceding with Pluto""."
584,"Foto sup 1054, verso del supporto secondario: nota anonima manoscritta","Tomba dei Pancratii. Via Latina. circa 188. The crowned Hercules Citharoedus making sweet music""."
585,"Foto sup 1919, verso del supporto secondario: nota anonima manoscritta","Marsilio Ficino, who died in 1499, has a copy of Plato in his / hands. The reverse of a medal of him, which I have, says, ""Platone"". / Ferucci was a good second class artist. / See Perkins. / Ex hospes hic est Marsilius sophiae pater / Platonicum qui dogma culpa temporum / Situ obrutum illustrans et atticum decus / Servans Latio dedit fores primus sacras...""."
586,"Foto sup 1921, verso del supporto secondario: nota anonima manoscritta","This bronze Cassa, which was finished in 1446, is much praised / by Perkins. The little child fluttering in the air is the soul of the / little corpse on the ground""."
587,"Foto sup 1922, verso del supporto secondario: nota anonima manoscritta","Firenze. Duomo. Monument to Sir John Hawkwood, one of the Black / Princes captains, who came into Italy in 1364 and went on slanghtering / and robbing and blackmailing until his death in 1394. / E la repubblica, says Gregorius, che negò sepoltura a Dante / eresse a quel ladro un onorevole monumento nel suo duomo. / There is a good story about this Messer Giovanni Augut a / due frati minori in Sacchetti's novelle. ""Dio vi tolga la / vostra elemosina"", answered he to them on their saying to him: / ""Dio vi chà pace. / [...] / Vasari makes an amusing remark about Paolo not being / pratico con cavalli, which proves that Giorgio himself / was not so very knowing in horseship. / Hawkwood could not write; his secretary signed for him [...] H. / put his seal to the document""."
588,"Foto sup 1058, verso del supporto secondario: nota anonima manoscritta"," Exterior of the Sistine Chapel, built for Pope Sixtus 4. by Baccio Pontelli in 1473 ...""."
589,"Foto sup 1062, verso del supporto secondario: nota anonima manoscritta","The Monzone, called casa di Pilato (perhaps from a Teofilato) and casa di Rienzi ...""."
590,"Foto sup 1077, verso del supporto secondario: nota anonima manoscritta","Tor Millina. about 1450. in stadium of Domitian ...""."
591,"Foto sup 1086, verso del supporto secondario: nota anonima manoscritta","The Priorato. Tomb of Bartolomeo Caraffa, of the knights of S. John, Prior of Rome and Hungary and Senator of the alma urbs under Boniface the 9. th. He died in 1405. The monument is signed by Magister Paulus"". "
592,"Foto sup 1091, verso del supporto secondario: nota anonima manoscritta","Arc of Dolabella and Silanus, consuls A. D. 60. Surmonted by castello d'acqua of the Claudian Aqueduct A. D. 60 ..."""
593,"sup 1281, verso del supporto secondario: nota anonima manoscritta","Arc of Dolabella Cicerons son in law. Celian""."
594,"Foto sup 1033, verso del supporto secondario: nota anonima manoscritta","S. Maria sopra Minervam. Slab tomb of Juan Rodriguez de Coca, bishop ...""."
595,"Foto sup 1033, verso del supporto secondario: nota anonima manoscritta","The Priorato. Tomb of Bishop Spinelli who died, judging on from the Gothic writing of his incrisption, about 1400. The Roman sarcophagus with a basrelief representing the deities of Olympus is of the 3th century...""."
596,"Foto sup 1933, verso del supporto secondario: nota anonima manoscritta","Palazzo Vecchio Florence built in 1298 by Arnolfo di Lapo. / The stalk of the tower is older, its upper portion later, being / added by Taddeo Gaddi""."
597,"Foto sup 1934, verso del supporto secondario: nota anonima manoscritta","The Palazzo of the Podestà was built about 1250-1255. / Of late years it has been completely restored, / almost rebuilt. / The tower of the Monastery of the Badia was the first / tower of the Podestà before 1250. It was then / called Bocca di Ferro, probably after the Bolognese family / of that name, then La Castagna, and is now called / Torre di Dante from being situated opposite / the back of the Poets' house. / The entrance of this house is in via S. Mrgherita. / The back door with the modern inscription is that / of the shop forming part of the Torre & Casa degli / Aldighieri. / M. Albertinelli after leaving off painting held / his inn in Dante's house""."
598,"Foto sup 1105, verso del supporto secondario: nota anonima manoscritta"," An old river tower at the foot of the Aventine converted into a dewelling house..""."
599,"Foto sup 1106, verso del supporto secondario: nota anonima manoscritta","Torre de Pier Leone opposite his principal fortress, the theatre of Marcellus, called in the Mirabilia, templum Ciceronis ...""."
600,"Foto sup 1108, verso del supporto secondario: nota anonima manoscritta","Costantines arc decorated with bas relief from trayans arc ...""."
601,"Foto sup 1120, verso del supporto secondario: nota anonima manoscritta","One of the 3 Columbaria in the Vigna Codini near the Porta Latina ..."".
"
602,"Foto sup 1127, verso del supporto secondario: nota anonima manoscritta","Tower and palace of the Margani on the ruins of the Circus Flaminius, erected about 1350. Ignatius Loyola lived in the palazzo Margana in 1549"".
"
603,"Foto sup 1129, verso del supporto secondario: nota anonima manoscritta","Atrium of S. Gregorio on the Celian. Monument of Sir Edward Carne, ambassador from Philipi ...""."
604,"Foto sup 1134, verso del supporto secondario: nota anonima manoscritta","Basso. Details of Plinth"".
"
605,"Foto sup 1135, verso del supporto secondario: nota anonima manoscritta","Basso. Details. Feet of one of the Virtues"".
"
606,"Foto sup 1136, verso del supporto secondario: nota anonima manoscritta","Basso. Details. Feet of one of the Virtues"".
"
607,"Foto sup 1201, verso del supporto secondario: nota anonima manoscritta","Basso. Details. One of the Virtues"".
"
608,"Foto sup 1485, verso del supporto secondario: nota anonima manoscritta","S. Maria del Popolo. Monument by the older Sansovino to Cardinal Girolamo Basso, who died in 1507..."".
"
609,"Foto sup 1141, verso del supporto secondario: nota anonima manoscritta","San Lorenzo fuori le mura lately restored. The Atrium is of the years 1216-1226"".
"
610,"Foto sup 1144, verso del supporto secondario: nota anonima manoscritta"," Porta Trigemina at foot of Aventine, gateway in Servian wall, now Arco Salara"". 
"
611,"Foto sup 1148, verso del supporto secondario: nota anonima manoscritta","Museo delle Terme. Upstairs. Sarcophagus showing the games and revels carried on by the Satyrs and Menads and other followers of Dionysos. It is one of the finest sarc. known and was found some 10 years ago with many others in the sepulcher of the Calpurnii Pisones near the Porta Salaria"". "
612,"Foto sup 1152, verso del supporto secondario: nota anonima manoscritta","Atrium of S. Gregorio. Details of Bonsi monument"".
"
613,"Foto sup 1314, verso del supporto secondario: nota anonima manoscritta","Atrium of San Gregorio. Monument to the Bonsi brothers, a lovely piece of Florentine art, supposed to be about 1490..."". "
614,"Foto sup 1154, verso del supporto secondario: nota anonima manoscritta","In cloister of S. Agostino, now part of Admiralty palace. The tomb of Costantia the mother of Jacobus Ammanati, Cardinal Papiensis ..."".
"
615,"Foto sup 1156, verso del supporto secondario: nota anonima manoscritta","Costantia Ammanati +1477""."
616,"Foto sup 1158, verso del supporto secondario: nota anonima manoscritta","Monument of Cardinal Ammanati who died in 1479. This most beautiful of ciborio tombs, looking like a Mino ..."". "
617,"Foto sup 1162, verso del supporto secondario: nota anonima manoscritta","Sepulchral cippus of Quintus Sulpicius Maximus a learned boy of 12 years of age, who won the prize for Greek poetry instituted by Domitian, from 52 competitors [...] The cippus was found in 1871 at the Porta Salaria"".
"
618,"Foto sup 1165, verso del supporto secondario: nota anonima manoscritta","Museo nuovo nel palazzo dei Conservatori. Sarcophagus from new exscavations on Esquiline with Nereids and Tritons ..."".
"
619,"Foto sup 1938, verso del supporto secondario: nota anonima manoscritta","The high tower is that of the Caponsacchi (Dante) called also that of the Arnieri, / who had a tower and palazzo adjoining it. It was given to the Arte de' Medici /  and Speziali to which guild Dante belonged and has its coat in situ. / The high tower to the extreme right is said to the that of the Migliorelli"".
"
620,"Foto sup 1166, verso del supporto secondario: nota anonima manoscritta","Museum in Baths of Diocletian. Put together with piece fished out from the bed of the Tyber ..."".
"
621,"Foto sup 1170, verso del supporto secondario: nota anonima manoscritta","Sforza. Details. Feet of a Virtue"".
"
622,"Foto sup 1319, verso del supporto secondario: nota anonima manoscritta","Sforza. Details of Plinth"". 
"
623,"Foto sup 1320, verso del supporto secondario: nota anonima manoscritta","Sforza. Details of Sarcophagus"". 
"
624,"Foto sup 1321, verso del supporto secondario: nota anonima manoscritta","Sforza. Details. Head of a Virtue"". 
"
625,"Foto sup 1322, verso del supporto secondario: nota anonima manoscritta","Sforza. Details. Feet of a Virtue"".
"
626,"Foto sup 1324, verso del supporto secondario: nota anonima manoscritta","Sforza. Details. A virtue"".
"
627,"Foto sup 1325, verso del supporto secondario: nota anonima manoscritta","Sforza. Details. A virtue"".
"
628,"Foto sup 1532, verso del supporto secondario: nota anonima manoscritta","S. Maria del Popolo. Monument erected by Julius 2. to Cardinal Ascanio Sforza ...""."
629,"Foto sup 1940, verso del supporto secondario: nota anonima manoscritta","The lofty tower in the third story of which Maria Viverelli keeps her albergo / was that of the Catellini da Castiglione, mentioned by Dante. / ""Ghibellini e Grandi furono quasi sempre esclusi dagli uffici."" Carocci. / The Ubaldini had possession of it before them and continued to own a part / of it down to the XVIth century"".
"
630,"Foto sup 1171, verso del supporto secondario: nota anonima manoscritta","Cardinal Adam Easton again 1397"""
631,"sup 1628, verso del supporto secondario: nota anonima manoscritta","Santa Cecilia in Trastevere. Monument of Cardinal Adam, the Englishman, who died in 1397 ..."".
"
632,"Foto sup 1174, verso del supporto secondario: nota anonima manoscritta","The Gotic church within the walls of the Gaetani fortress of which the tomb of Cecilia Metella was the keep"". 
"
633,"Foto sup 1177, verso del supporto secondario: nota anonima manoscritta","Sarcophagus of Peperino of P. Cornelius Scipio Barbatus B. C. 298"".
"
634,"Foto sup 1181, verso del supporto secondario: nota anonima manoscritta","S. Maria in Monserrato. Monument of Ferdinand of Cordova, papal underdeacon, a most learned man who died in 1486 ..."""
635,"sup 1193, verso del supporto secondario: nota anonima manoscritta","Details of Monument of Ferdinand of Cordova""."
636,"Il palazzo Catellini da Castiglione è quello che si intravede sul fondo della via dei Cavalieri che la foto sup 1941 documenta."
637,"Foto sup 1625, verso del supporto secondario: nota anonima manoscritta","Details of tomb of Bishop Gabriel Merino""."
638,"Foto sup 1185, verso del supporto secondario: nota anonima manoscritta","Cloister of S. Maria di Monserrato. Monument to Gonsalvo de Veteta knight of St. James ...""."
639,"Foto sup 1186, verso del supporto secondario: nota anonima manoscritta","Monument of Juan de Mella, Cardinal of Zamora, who died in 1467 ..."""
640,"sup 1187, verso del supporto secondario: nota anonima manoscritta","Details of Monument of Juan de Mela""."
641,"Foto sup 1189, verso del supporto secondario: nota anonima manoscritta"," S. Maria in Monserrato. Monument of Rodrigo Valdes, Bishop of Zamora ..."""
642,"sup 1194, verso del supporto secondario: nota anonima manoscritta","Details of monument of Rodrigo Valdes""."
643,"sup 1626, verso del supporto secondario: nota anonima manoscritta","Details of Monument of Rodrigo Valdes S. Maria in Monserrato""."
644,"Foto sup 1192, verso del supporto secondario: nota anonima manoscritta","S. Maria di Monserrato in cloister. Slab tomb of Rodrigo Sanchez, bishop of Palencia. who died in 1470 ...""."
645,"Foto sup 1944, verso del supporto secondario: nota anonima manoscritta","This is one of the sarcophagi that in Boccaccios time lay between Santa / Reparata and San Giovanni and over which Guido Cavalvanti / jumped after letting off his ""motto"". See Decameron Giorn. VI. Novella 9. / Boccaccio calls ""quelle arche grandi di marmo"", case de morti"". / This one bears the arms of the great family of the Abati. Inf. XXV""."
646,"Foto sup 1200, verso del supporto secondario: nota anonima manoscritta","Palazzo del Governo Vecchio già Nardini""."
647,"Foto sup 1202, verso del supporto secondario: nota anonima manoscritta","Achilles and Pentesilea, or Pluto and Proserpina [...] Alexandrine or ellenistic period circa 300 B.C., an exellent piece of greek sculpure found in the Tyber"".
"
648,"Foto sup 1282, verso del supporto secondario: nota anonima manoscritta","Tower of the Winds, angle tower of the Leonine city, built by Pope Leo 4. in 850 ..."".
"
649,"Foto sup 1292, verso del supporto secondario: nota anonima manoscritta","Torre della Scimmia. abou1450. Hilda's tower. It is a tower of the Scapucci palace [...] La Fiammetta has a tower like a baron!!!"".
"
650,"Foto sup 1318, verso del supporto secondario: nota anonima manoscritta","The beautiful Faith of Paul the seconds tomb by Mino da Fiesole. Perkins reviles the bas relief of the ascention""."
651,"Foto sup 1342, verso del supporto secondario: nota anonima manoscritta","N. 4 of the Museum. Aphrodite unclothing herself. By some she is said to be of a type of Venus genetrix and of alexandrine times [...] Found near S. Anastasia"".
"
652,"Foto sup 51, verso del supporto secondario: nota anonima manoscritta","Tower of the Counts of Anguillara (Orsini) about 1070. It was surrounded by fortifications of opus saracenescum. The arc in the foreground, called Arco dell'Annunziata, has since been removed and so have [...] A few years ago a Presepio used to be annually exhibited in a room at the top of the tower at Xmas time. The tower is also called Tor de' Forti from a family of that name that has a palazzo in the neighborhood"".
"
653,"Foto sup 1479, verso del supporto secondario: nota anonima manoscritta","S. Maria in Trastevere. Altar erected to Philipi and James by Cardinal Alencon about 1390 ..."". "
654,"Foto sup 1482, verso del supporto secondario: nota anonima manoscritta","Jonah in S. Maria del Popolo - designed and probably modelled by Raphael executed by Lorenzotto"". "
655,"Foto sup 1491, verso del supporto secondario: nota anonima manoscritta","S. Maria del Popolo. Bronze monument of a so called unknow bishop, by some attributed to Pollaiuolo . I discovered the coat of the Foscari engraved on the pillow..."".
"
656,"Foto sup 1495, verso del supporto secondario: nota anonima manoscritta","S. Maria del Popolo. Tomb of Marco Albertoni son of the Roman Knight Antonio Albertoni. Marco died in 1485. This monument is figured in Perkins"".
"
657,"Foto sup 1499, verso del supporto secondario: nota anonima manoscritta","S. Maria del Popolo. The della Rovere ciborio a lovely work of a school of Mino. Oleum sanctum is the inscription"".
"
658,"Foto sup 1503, verso del supporto secondario: nota anonima manoscritta","S. Maria del Popolo. Monument of Cardinal Podocatharo, the learned Greek who eas Alexander VI's secretary ...""."
659,"Foto sup 1505, verso del supporto secondario: nota anonima manoscritta","S. Maria del Popolo. Tomb of Giovanni della Rovere sisters son to Sixtus 4., who died in 1483, aged 30. The beautiful frescors are by Pinturicchio"".
"
660,"Foto sup 1506, verso del supporto secondario: nota anonima manoscritta","S: Maria del Popolo. A portion of the monument of Giambattista Millini who died in 1478 aged 73 years ...""."
661,"Foto sup 1511, verso del supporto secondario: nota anonima manoscritta","S. Maria del Popolo. Roma. Elegant door of the Church built of Baccio Pontelli in 1472-1477 for the Pope Sixtus IV"".
"
662,"Foto sup 1513, verso del supporto secondario: nota anonima manoscritta","S. Maria del Popolo"". "
663,"Foto sup 1947, verso del supporto secondario: nota anonima manoscritta","Florence. / Museo nazionale"".
"
664,"Foto sup 1514, verso del supporto secondario: nota anonima manoscritta","S. Maria del Popolo. Monument of Cardinal B. Lonato, who died in 1497 ..."""
665,"sup 1572, verso del supporto secondario: nota anonima manoscritta","Monument of Cardinal Lonato +1497""."
666,"Foto sup 1518, verso del supporto secondario: nota anonima manoscritta","S. Maria del Popolo. Monument of Nestor Malvizio of Bologna, a knight of Jerusalem, who died in 1488 aged 41. The fine reeling bishop close by is of the following century""."
667,"Foto sup 1520, verso del supporto secondario: nota anonima manoscritta","S. Maria del Popolo. The tomb of Juan Ortega Gomiel, bishop of Burges, who died in 1500. At his death he was 41 years old: he was an official of Alexander IV""."
668,"Foto sup 1521, verso del supporto secondario: nota anonima manoscritta","S. Maria del Popolo. Tomb of George Costa, cardinal of Lisbon ...""."
669,"Foto sup 1957, verso del supporto secondario","Florence. / Museo nazionale""."
670,"Foto sup 1526, verso del supporto secondario: nota anonima manoscritta","S. Maria del Popolo. Monument of Cardinal Antoniotto Palavicini who died in 1507 aged 66 years ...""."
671,"Foto sup 1529, verso del supporto secondario: nota anonima manoscritta","S. Maria del Popolo. Monument of Cardinal de Castro who died in 1506 in his 76 th. years ...""."
672,"Foto sup 1530, verso del supporto secondario: nota anonima manoscritta","Sacristy of S. Maria del Popolo: Monument of Pietro G. Rocca Archbishop of Salerno who died in 1482""."
673,"Foto sup 1533, verso del supporto secondario: nota anonima manoscritta","Tomb in the form of a temple in the porch of S. Lorenzo f. l. mura"". "
674,"Foto sup 1958, verso del supporto secondario: nota anonima manoscritta","Florence. / Museo nazionale""."
675,"Foto sup 1959, verso del supporto secondario: nota anonima manoscritta","Florence. / Museo nazionale""."
676,"Foto sup 1960, verso del supporto secondario: nota anonima manoscritta","Florence. / Museo nazionale""."
677,"Foto sup 1535, verso del supporto secondario: nota anonima manoscritta","Tomb of Cardinal Guillelmo Fieschi in S. Lorenzo f. l. mura. He died in 1256 ...""."
678,"Foto sup 1540, verso del supporto secondario: nota anonima manoscritta","This Joannes Arberinus, Jacobi filius, who lived to the age at 85 ...""."
679,"Foto sup 1541, verso del supporto secondario: nota anonima manoscritta","S. Maria sopra Minerva. Slab tomb of Fra Angelico da Fiesole who died in 1453 ...""."
680,"Foto sup 1961, verso del supporto secondario: nota anonima manoscritta","Museum in the Bargello. Florence. / Luca della Robbia's dancing boys for the organ loft at the Duomo / the altorelievo is of marble and of about 1450. / Luca lived from about 1400 to 1482""."
